GEOID,Population
05000US27069,1801
05000US27071,1872
05000US27073,3076
05000US27075,1807
05000US27077,536
05000US27079,6669
05000US27081,2479
05000US27083,5993
05000US27085,6833
05000US27087,2356
05000US27089,4168
05000US27091,5325
05000US27093,6818
05000US27095,6443
05000US27097,10319
05000US27099,8084
05000US27101,3664
05000US27103,5736
05000US27105,5216
05000US27107,2748
05000US27109,17271
05000US27111,17346
05000US27113,3021
05000US27115,8249
05000US27117,2935
05000US27119,8511
05000US27121,4057
05000US27123,44885
05000US27125,1729
05000US27127,5547
05000US27129,5479
05000US27131,9717
05000US27133,2885
05000US27135,4768
05000US27137,31685
05000US27139,12546
05000US27141,7436
05000US27143,5001
05000US27145,23423
05000US27147,6033
05000US27149,2676
05000US27151,3347
05000US27153,8301
05000US27155,1273
05000US27157,5761
05000US27159,3891
05000US27161,4175
05000US27163,23153
05000US27165,2762
05000US27167,1826
05000US27169,9217
05000US27171,14841
05000US27173,3958
05000US28001,2412
05000US28003,2690
05000US28005,984
05000US28007,1697
05000US28009,774
05000US28011,3877
05000US28013,1854
05000US28015,689
05000US28017,1559
05000US28019,986
05000US28021,896
05000US28023,1644
05000US28025,1666
05000US28027,2476
05000US28029,2293
05000US28031,1264
05000US28033,10302
05000US28035,4892
05000US28037,846
05000US28039,1411
05000US28041,1477
05000US28043,1152
05000US28045,2222
05000US28047,11979
05000US28049,17029
05000US28051,2404
05000US28053,1097
05000US28055,236
05000US28057,2146
05000US28059,8034
05000US28061,1412
05000US28063,490
05000US28065,891
05000US28067,4176
05000US28069,847
05000US28071,3251
05000US28073,3256
05000US28075,5543
05000US28077,1360
05000US28079,1819
05000US28081,5823
05000US28083,2749
05000US28085,1938
05000US28087,4406
05000US28089,6753
05000US28091,1946
05000US28093,2229
05000US28095,2908
05000US28097,918
05000US28099,2412
05000US28101,2093
05000US28103,964
05000US28105,3181
05000US28107,2249
05000US28109,3005
05000US28111,1132
05000US28113,3032
05000US28115,2281
05000US28117,1711
05000US28119,1191
05000US28121,9185
05000US28123,2019
05000US28125,624
05000US28127,1894
05000US28129,1545
05000US28131,963
05000US28133,3321
05000US28135,1660
05000US28137,1925
05000US28139,1789
05000US28141,1715
05000US28143,740
05000US28145,2145
05000US28147,922
05000US28149,3296
05000US28151,4455
05000US28153,1104
05000US28155,1283
05000US28157,852
05000US28159,1608
05000US28161,1086
05000US28163,2212
05000US29001,2811
05000US29003,2318
05000US29005,1497
05000US29007,2981
05000US29009,3324
05000US29011,1850
05000US29013,2954
05000US29015,2171
05000US29017,1474
05000US29019,11850
05000US29021,8317
05000US29023,3163
05000US29025,2277
05000US29027,3766
05000US29029,3912
05000US29031,6657
05000US29033,1940
05000US29035,669
05000US29037,9205
05000US29039,1219
05000US29041,1692
05000US29043,6810
05000US29045,1350
05000US29047,16588
05000US29049,2558
05000US29051,7125
05000US29053,3378
05000US29055,2223
05000US29057,1609
05000US29059,1225
05000US29061,2046
05000US29063,2364
05000US29065,1796
05000US29067,1328
05000US29069,3784
05000US29071,7955
05000US29073,2152
05000US29075,1572
05000US29077,21071
05000US29079,1843
05000US29081,1984
05000US29083,3176
05000US29085,1154
05000US29087,1491
05000US29089,1636
05000US29091,4019
05000US29093,1834
05000US29095,53480
05000US29097,10645
05000US29099,15848
05000US29101,5375
05000US29103,947
