DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
9,26,4,1,1986,2,2,4,1,1,1,1,0,1,0,0,3,0,0,1,4,3,27,1,0,0,1,110000,501,0,1145,241,0
5,16,4,2,1990,2,2,3,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,3,20,1,0,0,0,8750,100,1,1790,0,0
4,10,8,2,1970,2,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,2,2,22,1,0,0,0,47500,501,0,506,0,0
1,2,8,2,1920,2,1,3,1,1,1,1,1,0,0,0,1,0,1,2,2,2,39,0,0,1,0,22500,501,0,654,1139,0
8,22,7,2,1980,2,1,3,1,1,1,0,-2,-2,-2,-2,1,0,0,1,2,1,28,1,0,0,0,17500,501,0,271,256,0
9,27,2,1,1960,7,4,7,1,2,1,1,0,1,0,0,3,0,1,1,1,6,45,1,1,0,0,72500,501,0,2635,0,0
9,26,2,1,1954,2,3,6,1,1,1,1,0,0,1,0,3,0,1,6,2,3,21,1,0,0,0,27500,501,1,316,384,0
6,19,2,1,1978,7,5,9,2,2,1,1,0,0,1,0,1,0,0,1,4,3,51,1,0,0,1,82500,501,0,1698,796,0
1,2,9,2,1998,2,1,3,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,5,1,76,0,1,0,1,72500,501,0,750,895,0
5,17,2,2,1991,2,3,5,1,1,1,1,0,0,1,0,3,0,0,4,5,2,28,0,0,0,0,27500,501,0,1131,0,0
9,26,7,2,1986,2,2,5,1,1,1,1,0,0,1,0,3,0,0,1,5,2,40,1,0,0,1,110000,501,0,1558,81,0
9,26,2,1,1979,2,3,8,1,2,1,0,-2,-2,-2,-2,2,0,1,3,7,2,47,1,0,0,0,120000,501,0,1684,0,1373
7,21,2,1,1980,24,4,8,1,1,1,1,1,1,1,0,3,0,1,1,3,1,60,0,1,0,0,32500,501,0,2259,0,0
5,15,2,3,1954,2,4,11,1,1,1,1,0,1,0,0,1,0,0,1,5,2,51,1,1,1,0,2500,100,1,531,342,0
7,21,3,1,1980,14,3,7,1,2,2,-2,-2,-2,-2,-2,3,0,0,1,8,1,81,0,1,0,1,97500,501,0,940,0,0
8,22,1,1,1968,44,3,8,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,4,1,76,0,1,0,1,12500,150,0,402,854,0
5,17,1,1,1984,7,3,5,1,1,1,0,-2,-2,-2,-2,3,0,0,1,0,4,40,0,1,1,0,17500,100,0,3040,0,0
3,6,2,1,2005,2,3,9,2,3,1,1,0,0,1,0,3,0,0,1,6,2,62,0,1,1,0,120000,501,0,2784,0,756
2,5,3,1,1930,2,3,7,1,1,2,-2,-2,-2,-2,-2,1,0,1,2,1,4,66,0,1,1,0,2500,100,0,682,1321,0
8,24,6,2,1979,2,1,4,1,1,1,1,0,0,1,0,-2,0,0,1,2,2,27,1,0,0,1,17500,150,0,1583,418,0
4,11,9,2,2000,2,1,3,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,2,1,69,0,1,0,0,12500,150,0,513,0,0
4,10,2,1,2003,7,5,9,1,2,1,1,0,0,1,0,1,0,0,3,7,4,54,1,0,0,1,82500,501,0,1197,701,0
7,20,2,1,1972,14,3,7,2,1,2,-2,-2,-2,-2,-2,3,0,0,1,5,1,49,1,0,0,0,27500,501,0,986,0,0
7,21,2,1,1940,34,2,5,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,3,1,56,1,0,0,1,2500,100,0,1353,443,0
2,3,6,3,1960,2,3,6,1,1,1,1,0,0,1,0,1,0,0,2,2,3,20,1,0,0,0,22500,150,0,712,950,0
7,21,2,1,1982,2,4,7,2,2,1,1,0,1,0,0,1,0,0,1,8,2,70,0,1,0,1,52500,501,0,3127,530,0
2,4,2,1,1956,24,3,6,1,1,1,1,0,1,0,0,1,0,0,1,2,2,60,0,1,0,0,82500,501,0,758,1111,0
5,16,1,2,1970,2,2,4,1,1,1,0,-2,-2,-2,-2,2,0,0,1,1,5,28,1,0,0,0,3750,100,1,3658,0,929
9,26,9,2,1988,2,3,5,1,1,1,1,0,0,0,1,1,0,1,1,2,3,45,1,0,0,0,27500,501,0,510,290,0
5,16,2,1,2003,2,4,8,1,1,1,1,0,1,0,0,1,0,0,1,4,3,36,0,0,0,0,72500,501,0,1355,616,0
7,21,2,1,1970,14,3,6,2,2,2,-2,-2,-2,-2,-2,1,0,0,1,2,2,47,1,0,0,0,47500,501,0,1808,227,0
5,16,2,1,1953,54,3,6,1,1,1,1,0,0,0,1,1,0,0,1,5,3,68,0,1,1,1,37500,501,0,1634,1000,0
4,11,2,1,1952,7,3,7,1,1,1,1,1,0,0,0,1,0,0,1,3,2,45,1,0,0,0,72500,501,0,823,1054,0
2,4,2,1,1956,44,3,6,1,1,1,1,0,0,1,0,1,0,0,1,5,1,78,0,1,0,1,22500,501,0,649,1740,0
6,18,2,1,2001,7,3,10,1,2,1,1,0,1,0,0,3,0,0,2,5,2,70,1,1,0,1,120000,501,0,2259,497,0
5,13,2,2,2005,2,1,3,1,1,1,1,0,0,1,0,1,0,0,1,2,1,28,1,0,0,0,22500,501,0,294,1078,0
5,15,6,2,1980,2,3,6,1,1,1,1,0,1,0,0,3,0,0,2,4,3,51,1,0,0,0,27500,501,0,1407,0,0
3,8,2,2,1920,2,2,5,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,3,4,43,1,0,1,0,32500,150,1,580,694,0
5,14,7,2,1965,2,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,0,3,72,1,1,0,0,72500,501,0,1440,270,0
7,20,2,1,1960,24,3,7,1,2,1,1,0,0,1,0,1,0,0,1,1,2,70,0,1,0,0,32500,501,0,1161,740,0
2,4,9,2,1970,2,-2,1,1,1,1,1,0,0,1,0,1,0,0,4,4,2,32,1,0,0,0,57500,501,0,1281,406,0
4,10,2,1,1988,7,4,9,2,1,2,-2,-2,-2,-2,-2,1,0,0,1,6,2,72,0,1,0,1,92500,501,0,524,385,0
7,21,4,2,2000,2,4,6,1,1,1,1,0,0,0,0,3,0,0,4,5,3,21,0,0,0,0,2500,100,0,1540,0,0
5,14,2,1,1971,34,4,7,1,1,1,1,0,1,1,0,1,0,0,1,5,2,79,0,1,0,1,37500,501,0,960,853,0
4,10,2,2,1940,2,4,6,1,1,1,1,0,1,0,0,1,0,0,1,6,3,52,1,0,0,0,52500,501,0,526,1359,0
5,15,2,1,1947,7,4,10,1,1,1,1,0,1,0,0,3,0,0,2,5,3,23,1,0,0,1,120000,501,0,1501,0,0
1,1,7,2,1920,44,3,5,1,1,2,-2,-2,-2,-2,-2,3,0,1,6,1,4,71,0,0,1,0,8750,100,1,1582,179,0
9,27,2,1,1945,14,4,9,1,1,1,1,0,0,1,0,4,0,1,1,1,3,55,1,0,0,0,22500,150,1,1110,0,1024
9,27,2,1,2004,2,3,7,1,2,1,1,0,1,0,0,1,0,1,1,4,4,36,1,0,0,0,67500,501,1,934,931,0
2,3,2,1,1952,14,1,4,1,1,1,1,0,0,1,0,1,0,0,1,5,1,40,1,0,0,0,57500,501,0,516,1272,0
7,21,2,2,1982,2,4,7,1,1,1,1,0,0,1,0,3,0,0,2,5,9,36,1,0,0,0,42500,150,0,3412,0,0
